Date,In US dollars,,,
2018-10-01,839400000000.00,,,
2018-10-12,778300000000.00,,,
2018-10-25,766500000000.00,,,
2018-11-07,769700000000.00,,,
2018-11-20,715700000000.00,,,
2018-12-04,737900000000.00,,,
2018-12-18,724700000000.00,,,
2019-01-02,732500000000.00,,,
2019-01-15,754600000000.00,,,
2019-01-29,743200000000.00,,,
2019-02-11,766200000000.00,,,
2019-02-25,776800000000.00,,,
2019-03-11,819800000000.00,,,
2019-03-22,839500000000.00,,,
2019-04-04,847300000000.00,,,
2019-04-17,861600000000.00,,,
2019-05-01,814600000000.00,,,
2019-05-14,780900000000.00,,,
2019-05-28,791100000000.00,,,
2019-06-10,751700000000.00,,,
2019-06-21,781300000000.00,,,
2019-07-05,786100000000.00,,,
2019-07-18,796200000000.00,,,
2019-07-31,844700000000.00,,,
2019-08-13,829800000000.00,,,
2019-08-26,812100000000.00,,,
2019-09-09,835700000000.00,,,
2019-09-20,852800000000.00,,,
2019-10-03,824700000000.00,,,
2019-10-16,861900000000.00,,,
2019-10-29,874100000000.00,,,
2019-11-11,900200000000.00,,,
,,,,
,,,,
,,,,
