Date,In US dollars,,,
2017-09-05,495800000000.00,,,
2017-09-11,503900000000.00,,,
2017-09-15,498500000000.00,,,
2017-09-21,496900000000.00,,,
2017-09-27,487000000000.00,,,
2017-10-03,493900000000.00,,,
2017-10-09,501300000000.00,,,
2017-10-13,504900000000.00,,,
2017-10-19,507300000000.00,,,
2017-10-25,495800000000.00,,,
2017-10-31,523200000000.00,,,
2017-11-06,523500000000.00,,,
2017-11-10,518600000000.00,,,
2017-11-16,521900000000.00,,,
2017-11-22,525600000000.00,,,
2017-11-29,508900000000.00,,,
2017-12-05,502200000000.00,,,
2017-12-11,520300000000.00,,,
2017-12-15,523600000000.00,,,
2017-12-21,515600000000.00,,,
2017-12-28,517000000000.00,,,
2018-01-04,535700000000.00,,,
2018-01-10,545900000000.00,,,
2018-01-17,516100000000.00,,,
2018-01-23,550300000000.00,,,
2018-01-29,540300000000.00,,,
2018-02-02,552800000000.00,,,
2018-02-08,498400000000.00,,,
2018-02-14,521500000000.00,,,
2018-02-21,516800000000.00,,,
2018-02-27,527100000000.00,,,
2018-03-05,524100000000.00,,,
2018-03-09,538100000000.00,,,
2018-03-15,534100000000.00,,,
2018-03-21,492100000000.00,,,
2018-03-27,442200000000.00,,,
2018-04-03,453000000000.00,,,
2018-04-09,457900000000.00,,,
2018-04-13,477000000000.00,,,
2018-04-19,487400000000.00,,,
2018-04-25,462200000000.00,,,
2018-05-01,503300000000.00,,,
2018-05-07,515200000000.00,,,
2018-05-11,541300000000.00,,,
2018-05-17,531900000000.00,,,
2018-05-23,541000000000.00,,,
2018-05-30,543200000000.00,,,
2018-06-05,558500000000.00,,,
2018-06-11,554400000000.00,,,
2018-06-15,566900000000.00,,,
2018-06-21,583300000000.00,,,
2018-06-27,566900000000.00,,,
2018-07-03,557200000000.00,,,
2018-07-10,588400000000.00,,,
2018-07-16,599100000000.00,,,
2018-07-20,606900000000.00,,,
2018-07-26,508900000000.00,,,
2018-08-01,495600000000.00,,,
2018-08-07,530700000000.00,,,
2018-08-13,519800000000.00,,,
2018-08-17,501800000000.00,,,
2018-08-23,499200000000.00,,,
2018-08-29,507900000000.00,,,
2018-09-05,482700000000.00,,,
2018-09-11,479100000000.00,,,
2018-09-17,463600000000.00,,,
2018-09-21,470400000000.00,,,
2018-09-27,487500000000.00,,,
2018-10-03,466700000000.00,,,
2018-10-09,453600000000.00,,,
2018-10-15,441100000000.00,,,
2018-10-19,442600000000.00,,,
2018-10-25,433700000000.00,,,
2018-10-31,436200000000.00,,,
2018-11-06,430900000000.00,,,
2018-11-12,406800000000.00,,,
2018-11-16,401000000000.00,,,
2018-11-23,378600000000.00,,,
2018-11-29,398500000000.00,,,
2018-12-06,401300000000.00,,,
2018-12-12,415300000000.00,,,
2018-12-18,412800000000.00,,,
2018-12-24,356500000000.00,,,
2018-12-31,374100000000.00,,,
2019-01-07,394000000000.00,,,
2019-01-11,410400000000.00,,,
2019-01-17,423200000000.00,,,
2019-01-24,416200000000.00,,,
2019-01-30,429300000000.00,,,
2019-02-05,488500000000.00,,,
2019-02-11,473200000000.00,,,
2019-02-15,463800000000.00,,,
2019-02-22,462000000000.00,,,
2019-02-28,460800000000.00,,,
2019-03-06,492300000000.00,,,
2019-03-13,494800000000.00,,,
2019-03-19,461100000000.00,,,
2019-03-25,474600000000.00,,,
2019-03-29,475700000000.00,,,
2019-04-04,502700000000.00,,,
2019-04-10,507800000000.00,,,
2019-04-16,510800000000.00,,,
2019-04-23,524600000000.00,,,
2019-04-29,556000000000.00,,,
2019-05-03,558000000000.00,,,
2019-05-09,538500000000.00,,,
2019-05-15,531700000000.00,,,
2019-05-21,527600000000.00,,,
2019-05-28,526100000000.00,,,
2019-06-03,468600000000.00,,,
2019-06-07,494800000000.00,,,
2019-06-13,506600000000.00,,,
2019-06-19,535200000000.00,,,
2019-06-25,539000000000.00,,,
2019-07-01,550800000000.00,,,
2019-07-08,558700000000.00,,,
2019-07-12,584700000000.00,,,
2019-07-18,573000000000.00,,,
2019-07-24,583900000000.00,,,
2019-07-30,562100000000.00,,,
2019-08-05,518500000000.00,,,
2019-08-09,535900000000.00,,,
2019-08-15,520900000000.00,,,
2019-08-21,523700000000.00,,,
2019-08-27,517200000000.00,,,
2019-09-03,520300000000.00,,,
2019-09-09,538500000000.00,,,
2019-09-13,534000000000.00,,,
2019-09-19,542500000000.00,,,
2019-09-25,521500000000.00,,,
2019-10-01,501600000000.00,,,
2019-10-07,512600000000.00,,,
2019-10-11,525500000000.00,,,
2019-10-17,543200000000.00,,,
2019-10-23,531100000000.00,,,
2019-10-29,540100000000.00,,,
2019-11-04,555500000000.00,,,
2019-11-08,544500000000.00,,,
,,,,
,,,,
,,,,
